88.1563, 1924, Nov Average, Kenya, KEN
40.9982, 1924, Dec Average, Kenya, KEN
68.9383, 1925, Jan Average, Kenya, KEN
19.1773, 1925, Feb Average, Kenya, KEN
62.2621, 1925, Mar Average, Kenya, KEN
33.2037, 1925, Apr Average, Kenya, KEN
54.1717, 1925, May Average, Kenya, KEN
34.4638, 1925, Jun Average, Kenya, KEN
38.3244, 1925, Jul Average, Kenya, KEN
28.5582, 1925, Aug Average, Kenya, KEN
12.8076, 1925, Sep Average, Kenya, KEN
74.8284, 1925, Oct Average, Kenya, KEN
173.121, 1925, Nov Average, Kenya, KEN
37.1246, 1925, Dec Average, Kenya, KEN
15.804, 1926, Jan Average, Kenya, KEN
23.6702, 1926, Feb Average, Kenya, KEN
77.7201, 1926, Mar Average, Kenya, KEN
181.874, 1926, Apr Average, Kenya, KEN
132.217, 1926, May Average, Kenya, KEN
29.0776, 1926, Jun Average, Kenya, KEN
38.443, 1926, Jul Average, Kenya, KEN
25.1376, 1926, Aug Average, Kenya, KEN
61.5755, 1926, Sep Average, Kenya, KEN
33.3345, 1926, Oct Average, Kenya, KEN
113.195, 1926, Nov Average, Kenya, KEN
24.0189, 1926, Dec Average, Kenya, KEN
15.9504, 1927, Jan Average, Kenya, KEN
14.4633, 1927, Feb Average, Kenya, KEN
102.499, 1927, Mar Average, Kenya, KEN
106.558, 1927, Apr Average, Kenya, KEN
76.461, 1927, May Average, Kenya, KEN
29.4872, 1927, Jun Average, Kenya, KEN
24.6916, 1927, Jul Average, Kenya, KEN
20.6671, 1927, Aug Average, Kenya, KEN
17.6033, 1927, Sep Average, Kenya, KEN
44.362, 1927, Oct Average, Kenya, KEN
65.1288, 1927, Nov Average, Kenya, KEN
61.206, 1927, Dec Average, Kenya, KEN
31.4259, 1928, Jan Average, Kenya, KEN
9.39305, 1928, Feb Average, Kenya, KEN
32.4812, 1928, Mar Average, Kenya, KEN
102.504, 1928, Apr Average, Kenya, KEN
98.9085, 1928, May Average, Kenya, KEN
47.3148, 1928, Jun Average, Kenya, KEN
15.9658, 1928, Jul Average, Kenya, KEN
21.3676, 1928, Aug Average, Kenya, KEN
14.5454, 1928, Sep Average, Kenya, KEN
41.7492, 1928, Oct Average, Kenya, KEN
127.036, 1928, Nov Average, Kenya, KEN
28.2022, 1928, Dec Average, Kenya, KEN
18.8707, 1929, Jan Average, Kenya, KEN
3.83164, 1929, Feb Average, Kenya, KEN
25.1005, 1929, Mar Average, Kenya, KEN
85.9583, 1929, Apr Average, Kenya, KEN
51.0882, 1929, May Average, Kenya, KEN
42.6768, 1929, Jun Average, Kenya, KEN
48.2362, 1929, Jul Average, Kenya, KEN
25.7775, 1929, Aug Average, Kenya, KEN
45.1069, 1929, Sep Average, Kenya, KEN
78.1474, 1929, Oct Average, Kenya, KEN
82.9386, 1929, Nov Average, Kenya, KEN
99.2086, 1929, Dec Average, Kenya, KEN
54.5843, 1930, Jan Average, Kenya, KEN
32.555, 1930, Feb Average, Kenya, KEN
146.702, 1930, Mar Average, Kenya, KEN
184.772, 1930, Apr Average, Kenya, KEN
89.2654, 1930, May Average, Kenya, KEN
28.9811, 1930, Jun Average, Kenya, KEN
26.7235, 1930, Jul Average, Kenya, KEN
23.1472, 1930, Aug Average, Kenya, KEN
34.6324, 1930, Sep Average, Kenya, KEN
63.0557, 1930, Oct Average, Kenya, KEN
86.5177, 1930, Nov Average, Kenya, KEN
63.0491, 1930, Dec Average, Kenya, KEN
15.7114, 1931, Jan Average, Kenya, KEN
33.7638, 1931, Feb Average, Kenya, KEN
69.8179, 1931, Mar Average, Kenya, KEN
123.208, 1931, Apr Average, Kenya, KEN
91.4145, 1931, May Average, Kenya, KEN
22.4816, 1931, Jun Average, Kenya, KEN
36.1536, 1931, Jul Average, Kenya, KEN
34.0928, 1931, Aug Average, Kenya, KEN
37.5358, 1931, Sep Average, Kenya, KEN
49.0895, 1931, Oct Average, Kenya, KEN
73.7695, 1931, Nov Average, Kenya, KEN
44.2894, 1931, Dec Average, Kenya, KEN
25.4639, 1932, Jan Average, Kenya, KEN
22.9866, 1932, Feb Average, Kenya, KEN
88.3657, 1932, Mar Average, Kenya, KEN
101.625, 1932, Apr Average, Kenya, KEN
120.601, 1932, May Average, Kenya, KEN
34.8497, 1932, Jun Average, Kenya, KEN
34.6719, 1932, Jul Average, Kenya, KEN
35.3647, 1932, Aug Average, Kenya, KEN
46.0728, 1932, Sep Average, Kenya, KEN
23.9569, 1932, Oct Average, Kenya, KEN
60.0358, 1932, Nov Average, Kenya, KEN
87.9, 1932, Dec Average, Kenya, KEN
79.4053, 1933, Jan Average, Kenya, KEN
11.8721, 1933, Feb Average, Kenya, KEN
21.5244, 1933, Mar Average, Kenya, KEN
58.4494, 1933, Apr Average, Kenya, KEN
41.1156, 1933, May Average, Kenya, KEN
