55.8558, 1921, Sep Average, Austria, AUT
65.2535, 1921, Oct Average, Austria, AUT
52.987, 1921, Nov Average, Austria, AUT
42.6519, 1921, Dec Average, Austria, AUT
100.554, 1922, Jan Average, Austria, AUT
53.7075, 1922, Feb Average, Austria, AUT
87.8749, 1922, Mar Average, Austria, AUT
122.782, 1922, Apr Average, Austria, AUT
76.6224, 1922, May Average, Austria, AUT
119.052, 1922, Jun Average, Austria, AUT
120.023, 1922, Jul Average, Austria, AUT
119.703, 1922, Aug Average, Austria, AUT
200.272, 1922, Sep Average, Austria, AUT
138.189, 1922, Oct Average, Austria, AUT
85.051, 1922, Nov Average, Austria, AUT
74.5802, 1922, Dec Average, Austria, AUT
90.3132, 1923, Jan Average, Austria, AUT
78.029, 1923, Feb Average, Austria, AUT
59.6523, 1923, Mar Average, Austria, AUT
126.701, 1923, Apr Average, Austria, AUT
61.8702, 1923, May Average, Austria, AUT
157.456, 1923, Jun Average, Austria, AUT
86.2915, 1923, Jul Average, Austria, AUT
109.474, 1923, Aug Average, Austria, AUT
98.997, 1923, Sep Average, Austria, AUT
112.709, 1923, Oct Average, Austria, AUT
118.281, 1923, Nov Average, Austria, AUT
144.793, 1923, Dec Average, Austria, AUT
46.2665, 1924, Jan Average, Austria, AUT
59.6465, 1924, Feb Average, Austria, AUT
36.2113, 1924, Mar Average, Austria, AUT
106.48, 1924, Apr Average, Austria, AUT
126.458, 1924, May Average, Austria, AUT
178.821, 1924, Jun Average, Austria, AUT
135.813, 1924, Jul Average, Austria, AUT
144.486, 1924, Aug Average, Austria, AUT
112.567, 1924, Sep Average, Austria, AUT
46.8516, 1924, Oct Average, Austria, AUT
22.5967, 1924, Nov Average, Austria, AUT
42.9158, 1924, Dec Average, Austria, AUT
22.5628, 1925, Jan Average, Austria, AUT
91.0619, 1925, Feb Average, Austria, AUT
65.3717, 1925, Mar Average, Austria, AUT
126.582, 1925, Apr Average, Austria, AUT
99.169, 1925, May Average, Austria, AUT
125.585, 1925, Jun Average, Austria, AUT
139.327, 1925, Jul Average, Austria, AUT
188.57, 1925, Aug Average, Austria, AUT
105.691, 1925, Sep Average, Austria, AUT
70.6367, 1925, Oct Average, Austria, AUT
127.167, 1925, Nov Average, Austria, AUT
76.878, 1925, Dec Average, Austria, AUT
53.3309, 1926, Jan Average, Austria, AUT
81.5538, 1926, Feb Average, Austria, AUT
94.1282, 1926, Mar Average, Austria, AUT
80.4841, 1926, Apr Average, Austria, AUT
146.506, 1926, May Average, Austria, AUT
207.717, 1926, Jun Average, Austria, AUT
205.876, 1926, Jul Average, Austria, AUT
106.664, 1926, Aug Average, Austria, AUT
86.9555, 1926, Sep Average, Austria, AUT
122.414, 1926, Oct Average, Austria, AUT
90.7094, 1926, Nov Average, Austria, AUT
71.1323, 1926, Dec Average, Austria, AUT
106.889, 1927, Jan Average, Austria, AUT
29.8003, 1927, Feb Average, Austria, AUT
93.8153, 1927, Mar Average, Austria, AUT
124.763, 1927, Apr Average, Austria, AUT
89.3385, 1927, May Average, Austria, AUT
143.69, 1927, Jun Average, Austria, AUT
124.246, 1927, Jul Average, Austria, AUT
140.511, 1927, Aug Average, Austria, AUT
154.617, 1927, Sep Average, Austria, AUT
40.9306, 1927, Oct Average, Austria, AUT
109.885, 1927, Nov Average, Austria, AUT
34.0467, 1927, Dec Average, Austria, AUT
45.3497, 1928, Jan Average, Austria, AUT
81.6125, 1928, Feb Average, Austria, AUT
68.2689, 1928, Mar Average, Austria, AUT
98.9506, 1928, Apr Average, Austria, AUT
144.803, 1928, May Average, Austria, AUT
131.54, 1928, Jun Average, Austria, AUT
75.1498, 1928, Jul Average, Austria, AUT
152.213, 1928, Aug Average, Austria, AUT
124.47, 1928, Sep Average, Austria, AUT
78.0383, 1928, Oct Average, Austria, AUT
107.07, 1928, Nov Average, Austria, AUT
72.9953, 1928, Dec Average, Austria, AUT
67.9431, 1929, Jan Average, Austria, AUT
36.201, 1929, Feb Average, Austria, AUT
15.1957, 1929, Mar Average, Austria, AUT
72.22, 1929, Apr Average, Austria, AUT
104.373, 1929, May Average, Austria, AUT
130.436, 1929, Jun Average, Austria, AUT
109.467, 1929, Jul Average, Austria, AUT
126.03, 1929, Aug Average, Austria, AUT
46.6153, 1929, Sep Average, Austria, AUT
113.74, 1929, Oct Average, Austria, AUT
86.7641, 1929, Nov Average, Austria, AUT
97.5096, 1929, Dec Average, Austria, AUT
27.6675, 1930, Jan Average, Austria, AUT
37.189, 1930, Feb Average, Austria, AUT
71.6591, 1930, Mar Average, Austria, AUT
118.658, 1930, Apr Average, Austria, AUT
115.281, 1930, May Average, Austria, AUT
68.9622, 1930, Jun Average, Austria, AUT
148.661, 1930, Jul Average, Austria, AUT
167.106, 1930, Aug Average, Austria, AUT
129.955, 1930, Sep Average, Austria, AUT
152.366, 1930, Oct Average, Austria, AUT
75.6023, 1930, Nov Average, Austria, AUT
71.854, 1930, Dec Average, Austria, AUT
69.6317, 1931, Jan Average, Austria, AUT
97.2967, 1931, Feb Average, Austria, AUT
60.0366, 1931, Mar Average, Austria, AUT
84.0215, 1931, Apr Average, Austria, AUT
53.7453, 1931, May Average, Austria, AUT
131.022, 1931, Jun Average, Austria, AUT
170.546, 1931, Jul Average, Austria, AUT
155.102, 1931, Aug Average, Austria, AUT
127.926, 1931, Sep Average, Austria, AUT
84.1393, 1931, Oct Average, Austria, AUT
76.9094, 1931, Nov Average, Austria, AUT
58.3379, 1931, Dec Average, Austria, AUT
61.2616, 1932, Jan Average, Austria, AUT
21.2188, 1932, Feb Average, Austria, AUT
59.0719, 1932, Mar Average, Austria, AUT
72.3125, 1932, Apr Average, Austria, AUT
138.958, 1932, May Average, Austria, AUT
84.7591, 1932, Jun Average, Austria, AUT
144.871, 1932, Jul Average, Austria, AUT
80.0719, 1932, Aug Average, Austria, AUT
54.3001, 1932, Sep Average, Austria, AUT
132.24, 1932, Oct Average, Austria, AUT
91.916, 1932, Nov Average, Austria, AUT
23.0106, 1932, Dec Average, Austria, AUT
51.3189, 1933, Jan Average, Austria, AUT
71.2377, 1933, Feb Average, Austria, AUT
46.2811, 1933, Mar Average, Austria, AUT
85.3375, 1933, Apr Average, Austria, AUT
161.078, 1933, May Average, Austria, AUT
159.111, 1933, Jun Average, Austria, AUT
134.638, 1933, Jul Average, Austria, AUT
134.321, 1933, Aug Average, Austria, AUT
104.99, 1933, Sep Average, Austria, AUT
157.843, 1933, Oct Average, Austria, AUT
102.593, 1933, Nov Average, Austria, AUT
77.1202, 1933, Dec Average, Austria, AUT
49.4045, 1934, Jan Average, Austria, AUT
41.0209, 1934, Feb Average, Austria, AUT
68.2712, 1934, Mar Average, Austria, AUT
58.1379, 1934, Apr Average, Austria, AUT
75.6603, 1934, May Average, Austria, AUT
178.127, 1934, Jun Average, Austria, AUT
113.65, 1934, Jul Average, Austria, AUT
189.709, 1934, Aug Average, Austria, AUT
71.3591, 1934, Sep Average, Austria, AUT
82.6782, 1934, Oct Average, Austria, AUT
87.3796, 1934, Nov Average, Austria, AUT
88.1862, 1934, Dec Average, Austria, AUT
61.9882, 1935, Jan Average, Austria, AUT
142.786, 1935, Feb Average, Austria, AUT
48.798, 1935, Mar Average, Austria, AUT
122.739, 1935, Apr Average, Austria, AUT
133.193, 1935, May Average, Austria, AUT
79.5203, 1935, Jun Average, Austria, AUT
99.6279, 1935, Jul Average, Austria, AUT
