Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
70.172,59.8508,69.2147,42.6061,29.2268,23.2315,15.7943,14.5235,16.6492,42.4734,50.1557,35.9011
73.6539,76.1712,59.4405,67.5964,27.033,15.3683,10.5611,22.8892,25.8943,53.9624,60.6406,95.1284
78.0697,69.946,61.0071,33.4862,33.821,45.9896,27.4835,24.747,30.7138,62.4819,63.9429,95.792
77.8903,82.3089,64.6353,79.5252,36.6815,23.1886,20.9065,21.1344,28.6111,44.1627,53.6958,54.7824
70.0203,59.6731,101.252,56.2894,33.1611,34.4102,26.0188,20.6785,31.3939,55.3148,45.8907,60.1609
69.5799,89.5367,76.2297,65.4788,60.7249,41.7727,24.4773,20.5037,30.912,80.4636,67.6174,57.0624
93.5104,62.6162,93.6292,60.4332,38.4079,35.1365,26.5535,37.4744,46.8495,74.385,61.5054,45.5543
68.191,56.0926,104.24,65.1428,57.3545,19.4669,28.9948,38.9223,35.2077,77.2567,76.8448,90.8878
58.9837,63.7544,78.8002,53.7586,33.0357,29.017,21.4783,22.7197,22.5453,48.3139,52.9793,75.9228
50.6369,49.2492,51.2682,75.0975,24.8061,28.9608,31.2015,17.0111,21.8911,49.4869,70.8219,73.6174
61.0114,50.4368,79.3808,46.5165,38.9496,42.3304,17.5137,32.4311,23.0043,36.9119,51.855,55.8842
76.0461,56.4505,58.8053,49.4808,12.2503,35.0425,27.1381,15.7975,18.253,69.9848,53.5624,86.5242
78.3501,79.8785,103.044,42.1097,25.3871,14.8893,14.8273,13.2909,44.202,52.7489,33.0127,52.5498
87.4258,72.8856,57.5107,29.4151,32.9387,20.8559,21.8683,25.6189,21.604,43.5421,47.974,48.0666
42.8191,61.5354,48.0253,22.4305,36.7682,15.033,23.6185,20.684,33.3153,29.4294,76.4059,91.4053
61.313,96.5549,65.2137,29.2779,43.5191,23.2262,27.4998,14.4193,38.7812,34.61,33.4878,56.7262
80.3229,83.5,46.5116,48.4976,21.8217,26.7778,27.9262,17.2629,17.571,55.2239,58.3671,38.8056
53.5069,83.7022,54.1622,44.9988,38.329,21.2483,8.77347,40.6018,26.5177,81.2869,48.669,85.0985
50.411,54.9433,56.6772,37.3678,40.852,21.4334,22.2123,16.4212,26.8577,55.3837,59.883,43.6704
77.3255,86.0438,72.8163,71.2567,49.0892,30.825,32.6288,18.8924,42.2913,51.5211,61.6277,75.8857
79.6079,77.6096,52.4491,47.7955,41.319,27.8836,27.7458,47.287,19.1646,52.9467,66.1146,77.1702
83.6754,95.9226,43.7074,74.9587,32.5816,29.9653,23.3997,20.8553,15.1668,76.6828,51.628,72.0875
