Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1985,13.8365,3.26529,14.6404,4.51384,10.2906,0.44976,1.89081,1.33642,5.49108,5.01138,8.17076,14.2608
 1986,7.13991,8.39627,18.2793,3.59351,6.7603,3.13231,2.5835,2.05866,10.2597,12.8638,11.7124,10.5074
 1987,7.6362,11.8265,6.13789,2.29504,4.95797,3.03445,5.60091,3.73678,2.58435,7.54118,11.2102,8.24104
 1988,6.5797,8.6104,10.0954,6.59341,6.02516,6.65456,2.25875,2.08028,6.27001,4.06534,13.1045,8.2996
 1989,5.87486,4.27778,7.59896,7.7384,2.72998,5.35198,2.01675,8.14402,3.49497,4.69352,6.82112,10.5083
 1990,14.1024,0.99352,5.91148,13.6158,12.3684,1.64323,5.86681,3.56871,3.23095,2.71623,10.2335,15.4927
 1991,5.26344,10.8985,17.8335,4.77022,9.42697,1.70718,2.01097,6.37045,5.10464,11.9126,6.24034,6.59395
 1992,9.79668,5.36774,14.3396,10.4131,12.2178,3.02178,5.79686,2.12033,2.89632,2.9782,9.55368,9.57095
 1993,3.03717,10.8705,6.71961,4.81104,5.18628,0.97462,1.07214,4.83205,4.22312,5.40396,9.31859,5.97452
 1994,12.9368,7.1241,7.7209,4.74026,2.7868,0.88107,1.92841,9.53283,11.2292,16.9843,7.27094,3.77022
 1995,8.13623,3.96345,11.7651,5.67729,1.37321,3.92752,0.63042,4.1631,8.72052,7.89571,7.0716,11.8791
 1996,16.5388,19.4389,17.8821,9.92333,7.70262,6.46564,2.58088,2.48974,6.10407,2.83415,2.56085,7.41428
 1997,8.4255,1.5611,3.1038,14.1332,4.21803,2.87205,1.2582,12.8915,10.1768,7.52866,12.6466,9.01772
 1998,4.5218,6.85071,3.19873,5.9124,10.1364,2.58549,2.26702,4.51274,7.22447,5.36354,6.35755,5.4154
 1999,19.3097,8.14034,5.19014,1.40741,1.82124,0.94531,1.87237,9.79681,6.58421,5.14073,12.8896,16.1796
 2000,2.62877,0.8917,2.53335,3.08979,10.4326,2.33463,2.20877,1.51892,5.21023,9.77001,6.32964,5.38695
 2001,10.5775,6.22409,0.82146,5.15574,3.69983,0.3213,0.22014,4.54609,7.25451,2.86952,8.22052,10.4727
 2002,2.04008,2.75176,6.92366,6.67997,4.72799,0.82338,3.30677,7.73001,3.33754,6.71756,14.4504,8.11799
 2003,20.1689,9.96454,6.31655,8.46228,4.03481,1.42956,3.3415,13.4946,6.39991,11.2926,9.66856,12.6551
 2004,10.5395,4.00866,8.15368,11.2406,12.2259,3.1601,3.3786,4.81188,4.38022,5.12852,17.7802,16.3861
 2005,4.8367,13.8823,4.96341,3.13139,1.32183,2.03369,1.61702,4.21241,7.16446,5.51716,11.0387,9.61196
 2006,18.3059,10.6701,2.5258,4.82243,13.6993,1.53037,6.78148,3.08186,7.69087,5.10101,6.54225,15.4317
 2007,2.70305,5.37522,11.1402,12.4836,3.14085,1.81008,3.53038,12.9864,7.32643,10.6817,7.93658,8.79186
 2008,3.25495,5.03295,5.49846,1.80281,8.81084,2.54252,2.39142,7.03466,9.09106,13.0342,8.01131,12.9573
 2009,19.6374,6.43202,13.3353,9.32203,4.37948,1.0344,2.55208,5.48872,15.0136,2.34864,4.26749,8.02616
 2010,9.37022,10.4939,7.60012,6.84542,5.55251,6.40218,6.73834,8.04884,6.03573,11.683,10.3759,3.79826
 2011,5.53622,8.91937,10.0905,11.7525,12.3967,4.50567,5.21936,6.26064,3.33887,11.716,10.3152,5.44152
 2012,7.4149,11.1492,10.6923,12.9353,2.11739,1.65078,1.4676,5.48352,4.78448,10.9576,11.5797,2.55473
 2013,8.76791,8.92865,8.63131,11.1676,6.0158,1.3322,1.47446,8.46881,4.9445,3.84127,10.3074,12.1482
 2014,8.16066,5.15702,9.59921,1.19663,9.74257,4.28901,1.62548,2.54547,5.22667,3.22473,14.0474,9.50248
 2015,8.26594,15.258,7.24103,0.60788,2.63044,1.46714,2.1895,15.6384,10.2879,10.0686,4.31705,0.16982
 2016,3.34047,5.96976,8.00315,5.39214,6.68445,1.6623,1.64392,2.90511,6.77407,2.04063,9.36787,11.6125

